core.externalId,core.name,core.description,core.assetLifecycle,Alias Names,Stakeholder: Admin,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: test super Stakeholder Role,Stakeholder: Bank_Details_Owner,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
D02,Employee,,Published,,,HannibalHenry,,,"","","","",Assigned,Employee,Update,"Jan 13, 2025, 07:48:50 AM",HannibalHenry,"Jan 13, 2025, 07:48:50 AM",HannibalHenry,56e6b675-6b8d-46f9-9859-78ca04d4e57c,CDGC://56e6b675-6b8d-46f9-9859-78ca04d4e57c,CDGC
DOM-22,sqlserver,,Published,,,Sherin,,,"","","","",Assigned,sqlserver,Update,"Feb 02, 2025, 11:34:32 AM",Sherin,"Feb 02, 2025, 11:34:36 AM",Sherin,572bf61d-5dbe-4041-8b75-a258f2e3d8ea,CDGC://572bf61d-5dbe-4041-8b75-a258f2e3d8ea,CDGC
DOM-24,unifi_Employees,,Published,,,,,,"","","","",,unifi_Employees,Update,"Feb 03, 2025, 12:29:14 PM",AswathyNagarajan,"Feb 03, 2025, 12:29:14 PM",AswathyNagarajan,66f98dc6-4a4d-474e-814c-1e49656d4cfc,CDGC://66f98dc6-4a4d-474e-814c-1e49656d4cfc,CDGC
Instructor-domain-2,Postal Address,Postal address is a physical address associated with the party. A party can have multiple addresses.,Published,,,infa_data,infa_admin,,"","","","",Assigned,Postal Address,Update,"Oct 01, 2024, 08:08:32 AM",infa_admin,"Oct 01, 2024, 08:08:32 AM",infa_admin,71a19c09-321a-4359-8a49-e2cfc57c8ee2,CDGC://71a19c09-321a-4359-8a49-e2cfc57c8ee2,CDGC
DOM-28,DOM_Person4,,Published,,,,,,"","","","",,DOM_Person4,Update,"Mar 04, 2025, 10:56:48 AM",john,"Mar 04, 2025, 10:56:48 AM",john,74519980-3ace-434c-a78c-59d21a7bd136,CDGC://74519980-3ace-434c-a78c-59d21a7bd136,CDGC
Instructor-domain-5,Classification,"Parties can be classified based on ownership, liability, industry classification, minority classification, size classification, income classification, or specialization. For example, you might use the North American Industry Classification System (NAICS) or the Standard Industrial Classification (SIC) to categorize parties. In the healthcare sector, you might classify health care parties based on specialities, such as pediatrics or ophthalmology.",Published,,,infa_data,infa_admin,,"","","","",Assigned,Classification,Update,"Oct 01, 2024, 08:08:32 AM",infa_admin,"Oct 01, 2024, 08:08:32 AM",infa_admin,791063f5-18b6-42da-a990-58f7ac40124c,CDGC://791063f5-18b6-42da-a990-58f7ac40124c,CDGC
DOM-19,FF_Customer_Domain,,Published,,,,vineshv,,"","","","",Assigned,FF_Customer_Domain,Update,"Jan 10, 2025, 09:35:08 AM",vineshv,"Jan 10, 2025, 09:35:11 AM",vineshv,84e56b6d-9758-43c6-87c8-1e7152d01b1c,CDGC://84e56b6d-9758-43c6-87c8-1e7152d01b1c,CDGC
DOM-37,ACJ_Oracle_Employees_extract,,Published,,,,,Ancy,"","","","",Assigned,ACJ_Oracle_Employees_extract,Update,"Mar 05, 2025, 06:55:54 AM",Ancy,"Mar 05, 2025, 06:55:58 AM",Ancy,8f15553b-4249-4777-85a2-200705de5ad4,CDGC://8f15553b-4249-4777-85a2-200705de5ad4,CDGC
DOM-20,emp6_domain,,Published,,,,,,"","","","",,emp6_domain,Update,"Jan 15, 2025, 11:22:02 AM",beenu,"Jan 15, 2025, 11:22:02 AM",beenu,9b8b18e7-5abb-4565-b558-543327a5d2ad,CDGC://9b8b18e7-5abb-4565-b558-543327a5d2ad,CDGC
DOM-27,DOM_Person2,,Published,,,,,,"","","","",,DOM_Person2,Update,"Mar 04, 2025, 10:56:48 AM",john,"Mar 04, 2025, 10:56:48 AM",john,9bd0234b-d001-46b8-9e1a-b9f6776523b6,CDGC://9bd0234b-d001-46b8-9e1a-b9f6776523b6,CDGC
DOM-2,Human_resource,DEP Table,Obsolete,HR,,,,,"","","","",,Human_resource,Update,"Sep 26, 2024, 04:48:13 AM",Deleted,"Sep 26, 2024, 05:18:39 AM",Deleted,b824c3be-60ae-4db2-9d47-58a2e2d2e900,CDGC://b824c3be-60ae-4db2-9d47-58a2e2d2e900,CDGC
DOM-26,DOM_Person1,,Published,,,,,,"","","","",,DOM_Person1,Update,"Mar 04, 2025, 10:56:48 AM",john,"Mar 04, 2025, 10:56:48 AM",john,be904df6-b9f8-418a-a655-e379ee958934,CDGC://be904df6-b9f8-418a-a655-e379ee958934,CDGC
Domain-1,AS_HR,Human Resources,Published,HR,,anfeezas,,,"","","","",Assigned,AS_HR,Update,"Jan 13, 2025, 05:28:19 AM",anfeezas,"Jan 13, 2025, 05:28:19 AM",anfeezas,cc017be5-6641-411a-8949-d0f5d2ccda45,CDGC://cc017be5-6641-411a-8949-d0f5d2ccda45,CDGC
DOM-31,DM3,dm3,Published,,,,,,"","","","",,DM3,Update,"Mar 04, 2025, 11:59:35 AM",john,"Mar 05, 2025, 05:15:57 AM",john,e6866de8-2e42-4e13-a9b7-347b77148daa,CDGC://e6866de8-2e42-4e13-a9b7-347b77148daa,CDGC
DOMAIN-2,Demand Fulfillment,The Demand Fulfillment information,Published,DF,,Selciya,,,"","","","",Assigned,Demand Fulfillment,Update,"Jan 11, 2025, 08:11:19 AM",Selciya,"Jan 11, 2025, 08:11:19 AM",Selciya,02b1f2a7-3566-4846-b45e-932d6193efa0,CDGC://02b1f2a7-3566-4846-b45e-932d6193efa0,CDGC
Instructor-domain-4,Campaign,the promotional campaign types that you can use to market a product or service.,Published,,,infa_data,infa_admin,,"","","","",Assigned,Campaign,Update,"Oct 01, 2024, 08:08:32 AM",infa_admin,"Oct 01, 2024, 08:08:32 AM",infa_admin,2ae5aecc-7eba-467a-8498-3e0824a49b83,CDGC://2ae5aecc-7eba-467a-8498-3e0824a49b83,CDGC
DOM-14,L_DEMO,,Published,DEMO,,,libinlin,,"","","","",Assigned,L_DEMO,Update,"Jan 08, 2025, 10:34:54 AM",Deleted,"Jan 08, 2025, 10:34:57 AM",Deleted,3c0b3792-f881-46f6-8946-95d2626c590c,CDGC://3c0b3792-f881-46f6-8946-95d2626c590c,CDGC
DOM-16,DEMO,,Published,,,,,,"","","","",,DEMO,Update,"Jan 08, 2025, 01:07:59 PM",AswathyNagarajan,"Mar 04, 2025, 07:10:46 AM",infa_admin,5e49a6fe-8571-4a13-8bd8-ef2331d6beef,CDGC://5e49a6fe-8571-4a13-8bd8-ef2331d6beef,CDGC
DM005,Product Domain 1,Domain for product-related information,Published,Inventory,,,,,"","","","",,Product Domain 1,Update,"Jan 10, 2025, 08:25:30 AM",RiswinT,"Jan 10, 2025, 08:25:30 AM",RiswinT,6e661f69-6a50-421b-ba11-822320bbe398,CDGC://6e661f69-6a50-421b-ba11-822320bbe398,CDGC
D01,Customer,,Published,,,HannibalHenry,,,"","","","",Assigned,Customer,Update,"Jan 13, 2025, 07:48:50 AM",HannibalHenry,"Jan 13, 2025, 07:48:50 AM",HannibalHenry,72fda73b-35e5-4f05-beef-857319832089,CDGC://72fda73b-35e5-4f05-beef-857319832089,CDGC
DOM-34,DM5,dm5,Published,,,,beenu;john,,"","","","",Assigned,DM5,Update,"Mar 04, 2025, 11:59:35 AM",john,"Mar 05, 2025, 05:15:57 AM",john,8d37da8d-a1fb-40a7-9172-059d774a476d,CDGC://8d37da8d-a1fb-40a7-9172-059d774a476d,CDGC
DOM-43,Goutham_AdvnWorks_Domain,Adventure works,Published,,Goutham,,,,"","","","",Assigned,Goutham_AdvnWorks_Domain,Update,"Mar 20, 2025, 01:02:39 PM",Goutham,"Mar 20, 2025, 01:03:10 PM",Goutham,91e3d7ee-1bbf-468f-942f-82f8d82cae0f,CDGC://91e3d7ee-1bbf-468f-942f-82f8d82cae0f,CDGC
DOM-32,DM4,hello4,Published,,,,beenu,,"","","","",Assigned,DM4,Update,"Mar 04, 2025, 11:59:35 AM",john,"Mar 04, 2025, 11:59:35 AM",john,9c8bbcf7-c2fe-4073-a92f-625f11c2c335,CDGC://9c8bbcf7-c2fe-4073-a92f-625f11c2c335,CDGC
DM002,Sales Domain 1,Domain related to sales transactions,Published,Order Domain,,,,,"","","","",,Sales Domain 1,Update,"Jan 10, 2025, 08:25:30 AM",RiswinT,"Jan 10, 2025, 08:25:30 AM",RiswinT,ad3f2e12-c442-445c-8aa4-1d810aafcc31,CDGC://ad3f2e12-c442-445c-8aa4-1d810aafcc31,CDGC
